make,num-of-doors,body-style,num-of-cylinders,horsepower,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,L/100km-mean,
alfa-romero,two,convertible,four,111,21,27,16500,11.19,8.70,9.95,
alfa-romero,two,hatchback,six,154,19,26,16500,12.37,9.04,10.70,
alfa-romero,two,convertible,four,111,21,27,13495,11.19,8.70,9.95,
audi,four,sedan,five,140,17,20,23875,13.82,11.75,12.79,
audi,four,wagon,five,110,19,25,18920,12.37,9.40,10.88,
audi,four,sedan,five,110,19,25,17710,12.37,9.40,10.88,
audi,four,sedan,five,115,18,22,17450,13.06,10.68,11.87,
audi,two,sedan,five,110,19,25,15250,12.37,9.40,10.88,
audi,four,sedan,four,102,24,30,13950,9.79,7.83,8.81,
bmw,two,sedan,six,182,16,22,41315,14.69,10.68,12.68,
bmw,four,sedan,six,182,15,20,36880,15.67,11.75,13.71,
bmw,four,sedan,six,182,16,22,30760,14.69,10.68,12.68,
bmw,four,sedan,six,121,20,25,24565,11.75,9.40,10.58,
bmw,four,sedan,six,121,21,28,21105,11.19,8.39,9.79,
bmw,two,sedan,six,121,21,28,20970,11.19,8.39,9.79,
bmw,four,sedan,four,101,23,29,16925,10.22,8.10,9.16,
bmw,two,sedan,four,101,23,29,16430,10.22,8.10,9.16,
dodge,two,hatchback,four,145,19,24,12964,12.37,9.79,11.08,
honda,four,sedan,four,101,24,28,12945,9.79,8.39,9.09,
honda,two,sedan,four,100,25,31,10345,9.40,7.58,8.49,
honda,four,sedan,four,86,27,33,10295,8.70,7.12,7.91,
isuzu,two,hatchback,four,90,24,29,11048,9.79,8.10,8.95,
jaguar,two,sedan,twelve,262,13,17,36000,18.08,13.82,15.95,
jaguar,four,sedan,six,176,15,19,35550,15.67,12.37,14.02,
jaguar,four,sedan,six,176,15,19,32250,15.67,12.37,14.02,
mazda,four,sedan,four,72,31,39,18344,7.58,6.03,6.80,
mazda,four,sedan,four,120,19,27,18280,12.37,8.70,10.54,
mazda,two,hatchback,two,135,16,23,15645,14.69,10.22,12.45,
mazda,two,hatchback,two,101,17,23,13645,13.82,10.22,12.02,
mazda,two,hatchback,two,101,17,23,11845,13.82,10.22,12.02,
mazda,four,hatchback,four,84,26,32,11245,9.04,7.34,8.19,
mazda,two,hatchback,two,101,17,23,10945,13.82,10.22,12.02,
mazda,four,sedan,four,64,36,42,10795,6.53,5.60,6.06,
mazda,two,hatchback,four,84,26,32,10595,9.04,7.34,8.19,
mazda,four,sedan,four,84,26,32,10245,9.04,7.34,8.19,
mercedes-benz,two,hardtop,eight,184,14,16,45400,16.79,14.69,15.74,
mercedes-benz,four,sedan,eight,184,14,16,40960,16.79,14.69,15.74,
mercedes-benz,two,convertible,eight,155,16,18,35056,14.69,13.06,13.87,
mercedes-benz,four,sedan,eight,155,16,18,34184,14.69,13.06,13.87,
mercedes-benz,four,sedan,five,123,22,25,31600,10.68,9.40,10.04,
mercedes-benz,four,wagon,five,123,22,25,28248,10.68,9.40,10.04,
mercedes-benz,two,hardtop,five,123,22,25,28176,10.68,9.40,10.04,
mercedes-benz,four,sedan,five,123,22,25,25552,10.68,9.40,10.04,
mercury,two,hatchback,four,175,19,24,16503,12.37,9.79,11.08,
mitsubishi,two,hatchback,four,145,19,24,14869,12.37,9.79,11.08,
mitsubishi,two,hatchback,four,145,19,24,14489,12.37,9.79,11.08,
mitsubishi,two,hatchback,four,145,19,24,12629,12.37,9.79,11.08,
nissan,two,hatchback,six,200,17,23,19699,13.82,10.22,12.02,
nissan,two,hatchback,six,160,19,25,18399,12.37,9.40,10.88,
nissan,two,hatchback,six,160,19,25,17199,12.37,9.40,10.88,
nissan,four,wagon,six,152,17,22,14399,13.82,10.68,12.25,
nissan,four,sedan,six,152,17,22,13499,13.82,10.68,12.25,
nissan,four,sedan,six,152,19,25,13499,12.37,9.40,10.88,
peugot,four,sedan,four,142,18,24,18150,13.06,9.79,11.42,
peugot,four,sedan,four,95,28,33,17950,8.39,7.12,7.76,
peugot,four,wagon,four,95,25,25,17075,9.40,9.40,9.40,
peugot,four,sedan,four,95,28,33,16900,8.39,7.12,7.76,
